,title,author,publication_year,format,current_price,original_price
426,Harry Potter and the Chamber of Secrets: MinaLima Edition,J. K. Rowling,2021,Hardback,37.22,38.55
430,Sorrow and Bliss,Meg Mason,2022,Paperback,10.34,10.83
431,The Surrender Experiment,Michael A. Singer,2016,Paperback,11.09,13.24
432,Ninth House,Leigh Bardugo,2020,Paperback,10.38,10.83
433,Shadows of Self,Brandon Sanderson,2016,Paperback,10.56,12.03
434,Equal Rites,Terry Pratchett,2014,Hardback,13.94,18.06
435,Reaper Man,Terry Pratchett,2013,Hardback,14.21,24.99
436,The Carrying,Ada Limon,2019,Paperback,9.57,13.24
437,The Cruel Prince (The Folk of the Air),Holly Black,2018,Paperback,10.04,10.83
438,Sashiko 365,Susan Briscoe,2022,Paperback,19.81,24.99
439,How To Do The Work,Nicole LePera,2021,Paperback,15.7,20.47
441,Letting Go,David R. Hawkins,2014,Paperback,15.91,18.99
443,The 5 Love Languages,Gary Chapman,2015,Paperback,14.84,15.99
444,Steal Like an Artist,Austin Kleon,2012,Paperback,11.91,14.95
446,The Hero of Ages,Brandon Sanderson,2010,Paperback,13.57,14.22
449,In Order To Live,Yeonmi Park,2016,Paperback,12.38,13.24
451,The Magic Finger,Roald Dahl,2011,Paperback,7.04,7.99
457,"Solo Leveling, Vol. 6",Chugong,2023,Paperback,18.12,20.0
458,the Silva Mind Control Method,Jose Silva,2022,Paperback,15.23,17.99
459,"[Oshi No Ko], Vol. 1",Aka Akasaka,2023,Paperback,12.33,13.0
460,"The Eminence in Shadow, Vol. 3 (light novel)",Daisuke Aizawa,2021,Hardback,19.35,20.0
461,"One Piece, Vol. 101",Eiichiro Oda,2023,Paperback,9.59,9.99
463,Sweet Bean Paste,Durian Sukegawa,2017,Paperback,9.43,16.99
464,The Gulag Archipelago,Aleksandr Solzhenitsyn,2018,Paperback,17.74,18.06
465,Armistice Runner,Tom Palmer,2018,Paperback,8.91,9.63
467,The Divine Project,Cardinal Joseph Ratzinger,2023,Paperback,18.12,18.95
468,Bored of Lunch: The Healthy Air Fryer Book,Nathan Anthony,2023,Hardback,21.21,22.88
469,Maame,Jessica George,2023,Hardback,17.41,18.06
471,The Dragon's Promise,Elizabeth Lim,2022,Hardback,19.77,20.47
472,Malibu Rising,Taylor Jenkins Reid,2022,Paperback,11.78,12.03
474,Love and Other Words,Christina Lauren,2018,Paperback,15.78,16.99
476,The Witcher Boxed Set,Andrzej Sapkowski,2020,Paperback,78.22,95.16
477,The Bands of Mourning,Brandon Sanderson,2017,Paperback,10.21,12.03
478,Guards! Guards!,Terry Pratchett,2014,Hardback,14.94,24.99
479,Sourcery,Terry Pratchett,2014,Hardback,14.08,24.99
480,Greenlights,Matthew McConaughey,2020,Paperback,15.63,18.06
481,Kindred,Octavia E. Butler,2018,Paperback,9.45,12.03
482,"Goodnight, Goodnight Construction Site",Sherri Duskey Rinke,2017,Board book,7.72,7.99
486,Ten Little Fingers and Ten Little Toes,Mem Fox,2011,Board book,8.6,11.0
487,Diddly Squat,Jeremy Clarkson,2022,Paperback,11.85,13.24
488,Sparring Partners,John Grisham,2023,Paperback,9.2,10.83
